Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.82,-0.015,-0.06%,0.0,United States,None,5795,Consumer Services,Real Estate Investment Trusts
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,$9.71,0.0,0.00%,285571100.0,United States,2021.0,1747,Finance,Business Services
AKTX,Akari Therapeutics plc ADR (0.01 USD),$1.66,0.03,1.84%,65818651.0,United Kingdom,None,28413,Health Care,Major Pharmaceuticals
AMD,Advanced Micro Devices Inc. Common Stock,$102.95,5.02,5.13%,125086409479.0,United States,None,163792766,Technology,Semiconductors
AMHC,Amplitude Healthcare Acquisition Corporation Class A Common Stock,$9.915,-0.0153,-0.15%,123937500.0,United States,1991.0,243043,None,None
AMHCU,Amplitude Healthcare Acquisition Corporation Unit,$10.35,-0.01,-0.10%,0.0,United States,2019.0,250,None,None
AMHCW,Amplitude Healthcare Acquisition Corporation Warrants,$1.07,0.0876,8.92%,0.0,United States,2020.0,492,None,None
AMZN,Amazon.com Inc. Common Stock,$3599.92,-30.4,-0.84%,1815525103701.0,United States,1997.0,5337981,Consumer Services,Catalog/Specialty Distribution
APPHW,AppHarvest Inc. Warrants,$3.87,-0.28,-6.75%,0.0,United States,2020.0,35415,Finance,Business Services
APR,Apria Inc. Common Stock,$30.20,0.55,1.86%,1064646640.0,United States,2021.0,297497,Health Care,Medical/Dental Instruments
APRE,Aprea Therapeutics Inc. Common stock,$4.34,-0.17,-3.77%,91950829.0,United States,2019.0,359286,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARBG,Aequi Acquisition Corp. Class A Common Stock,$9.69,-0.0898,-0.92%,278587500.0,United States,2021.0,3311,None,None
ARBGU,Aequi Acquisition Corp. Unit,$9.99,-0.02,-0.20%,0.0,United States,2020.0,4455,None,None
ASMB,Assembly Biosciences Inc. Common Stock,$3.47,-0.07,-1.98%,139348944.0,United States,None,331110,Health Care,Major Pharmaceuticals
ASPCW,Alpha Capital Acquisition Company Warrant,$0.78,0.0,0.00%,0.0,United States,2021.0,12,Finance,Business Services
ASRV,AmeriServ Financial Inc. Common Stock,$3.90,0.17,4.56%,66592500.0,United States,None,74487,Finance,Major Banks
AUTL,Autolus Therapeutics plc American Depositary Share,$5.33,-0.15,-2.74%,376213882.0,United Kingdom,2018.0,304590,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVNW,Aviat Networks Inc. Common Stock,$36.64,1.48,4.21%,409056068.0,United States,None,360966,Capital Goods,Telecommunications Equipment
AVRO,AVROBIO Inc. Common Stock,$7.33,-0.24,-3.17%,306145674.0,United States,2018.0,160955,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDSI,BioDelivery Sciences International Inc. Common Stock,$3.76,-0.02,-0.53%,370427225.0,United States,None,361745,Health Care,Major Pharmaceuticals
BELFA,Bel Fuse Inc. Class A Common Stock,$13.144,-0.4027,-2.97%,162230004.0,United States,None,971,Capital Goods,Electrical Products
ACTDU,ArcLight Clean Transition Corp. II Unit,$10.00,-0.04,-0.40%,0.0,United States,2021.0,17616,None,None
ADV,Advantage Solutions Inc. Class A Common Stock,$10.21,-0.01,-0.10%,3251374153.0,United States,2019.0,817074,Technology,Advertising
AGGR,Agile Growth Corp. Class A Ordinary Share,$9.615,-0.015,-0.16%,372581250.0,United States,2021.0,30660,Finance,Business Services
AGRX,Agile Therapeutics Inc. Common Stock,$1.21,0.0,0.00%,112529956.0,United States,2014.0,1323239,Health Care,Major Pharmaceuticals
AGYS,Agilysys Inc. Common Stock,$56.29,-0.44,-0.78%,1382969928.0,United States,None,47994,Technology,Computer Software: Prepackaged Software
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,$9.96,-0.01,-0.10%,128035800.0,United States,2020.0,23990,None,None
AKICW,Sports Ventures Acquisition Corp. Warrant,$0.86,0.0,0.00%,0.0,United States,2021.0,1654,Finance,Business Services
ALTA,Altabancorp Common Stock,$41.07,0.36,0.88%,775502755.0,United States,2015.0,30227,Finance,Major Banks
AMSC,American Superconductor Corporation Common Stock,$14.22,-0.28,-1.93%,401145006.0,United States,1991.0,139033,Capital Goods,Office Equipment/Supplies/Services
AMTB,Amerant Bancorp Inc. Class A Common Stock,$22.29,-0.02,-0.09%,837279270.0,United States,None,46564,Finance,Major Banks
APPS,Digital Turbine Inc. Common Stock,$64.32,1.18,1.87%,6002077595.0,United States,None,2024649,Miscellaneous,Multi-Sector Companies
AQB,AquaBounty Technologies Inc. Common Stock,$5.01,-0.1,-1.96%,355822354.0,United States,None,910872,None,None
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,$31.00,-2.06,-6.23%,815928494.0,Israel,2013.0,238244,Health Care,Major Pharmaceuticals
AREC,American Resources Corporation Class A Common Stock,$2.18,-0.02,-0.91%,131935832.0,United States,None,925701,None,None
ARKR,Ark Restaurants Corp. Common Stock,$15.92,0.14,0.89%,56426959.0,United States,None,5067,Consumer Services,Restaurants
ARRW,Arrowroot Acquisition Corp. Class A common stock,$9.63,-0.02,-0.21%,346078125.0,United States,2021.0,900,None,None
ARTA,Artisan Acquisition Corp. Class A Ordinary Shares,$9.65,0.0,0.00%,423806712.0,Cayman Islands,2021.0,98,Finance,Business Services
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,$68.32,-0.05,-0.07%,7111078728.0,United States,None,628599,Health Care,Major Pharmaceuticals
ASRVP,AmeriServ Financial Inc. AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities Series A,$27.90,-0.4567,-1.61%,0.0,United States,None,3083,Finance,Major Banks
ATCOL,Atlas Corp. 7.125% Notes due 2027,$26.638,0.038,0.14%,0.0,United Kingdom,None,810,None,None
ATEC,Alphatec Holdings Inc. Common Stock,$14.65,0.04,0.27%,1427877530.0,United States,2006.0,297553,Health Care,Medical/Dental Instruments
ATHE,Alterity Therapeutics Limited American Depositary Shares,$1.35,0.05,3.85%,54154678.0,Australia,None,743307,Health Care,Major Pharmaceuticals
ATLC,Atlanticus Holdings Corporation Common Stock,$44.91,0.79,1.79%,747314391.0,United States,1995.0,32769,Finance,Finance: Consumer Services
ATOM,Atomera Incorporated Common Stock,$18.06,-0.29,-1.58%,416057124.0,United States,2016.0,182828,Technology,Semiconductors
AUUD,Auddia Inc. Common Stock,$3.30,-0.17,-4.90%,40799616.0,United States,2021.0,247529,Technology,Computer Software: Prepackaged Software
AXLA,Axcella Health Inc. Common Stock,$3.60,-0.03,-0.83%,131208739.0,United States,2019.0,87689,Health Care,Major Pharmaceuticals
AXON,Axon Enterprise Inc. Common Stock,$186.42,0.33,0.18%,12058459137.0,United States,None,164359,Consumer Non-Durables,Military/Government/Technical
AZPN,Aspen Technology Inc. Common Stock,$145.40,0.11,0.08%,9889369950.0,United States,1994.0,285392,Technology,EDP Services
BANF,BancFirst Corporation Common Stock,$55.75,-0.14,-0.25%,1827736600.0,United States,1993.0,54497,Finance,Major Banks
BBIG,Vinco Ventures Inc. Common Stock,$3.60,0.28,8.43%,215846068.0,United States,2018.0,8240405,Consumer Non-Durables,Recreational Products/Toys
BCYC,Bicycle Therapeutics plc American Depositary Shares,$31.19,-1.5,-4.59%,750982371.0,United Kingdom,2019.0,80385,Health Care,Major Pharmaceuticals
BEEM,Beam Global Common Stock,$30.29,-0.82,-2.64%,269195105.0,United States,None,123913,Technology,Semiconductors
ACBAU,Ace Global Business Acquisition Limited Unit,$10.60,0.0,0.00%,0.0,Hong Kong,2021.0,227,Miscellaneous,Business Services
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,$25.32,0.03,0.12%,0.0,Bermuda,None,37439,Finance,Property-Casualty Insurers
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$1.20,0.0,0.00%,142923599.0,United States,2011.0,794464,Consumer Durables,Specialty Chemicals
AGFS,AgroFresh Solutions Inc. Common Stock,$1.96,-0.01,-0.51%,102024468.0,United States,2014.0,21222,None,None
AKYA,Akoya BioSciences Inc. Common Stock,$17.60,0.25,1.44%,653145258.0,United States,2021.0,55555,Capital Goods,Medical Specialities
ALTUU,Altitude Acquisition Corp. Unit,$10.1014,-0.0104,-0.10%,0.0,United States,2020.0,200,None,None
AMBA,Ambarella Inc. Ordinary Shares,$97.12,0.9,0.94%,3523372873.0,United States,2012.0,159478,Technology,Semiconductors
AMEH,Apollo Medical Holdings Inc. Common Stock,$99.08,0.68,0.69%,5449076801.0,United States,None,302793,Consumer Services,Professional Services
AMRN,Amarin Corporation plc,$4.24,-0.04,-0.94%,1673831258.0,Ireland,None,1875520,Health Care,Major Pharmaceuticals
AMST,Amesite Inc. Common Stock,$2.10,-0.03,-1.41%,43187689.0,United States,2020.0,95632,Technology,Computer Software: Prepackaged Software
AMTBB,Amerant Bancorp Inc. Class B Common Stock,$18.92,-0.08,-0.42%,710691960.0,United States,None,171,Finance,Major Banks
ARKO,ARKO Corp. Common Stock,$8.37,0.11,1.33%,1041460728.0,United States,None,118590,Consumer Non-Durables,Food Chains
ASTSW,AST SpaceMobile Inc. Warrant,$4.15,-0.12,-2.81%,0.0,United States,2019.0,40231,Consumer Services,Telecommunications Equipment
ATER,Aterian Inc. Common Stock,$9.23,-0.52,-5.33%,314725426.0,United States,2019.0,557983,Consumer Durables,Home Furnishings
ATNFW,180 Life Sciences Corp. Warrant,$1.42,-0.1,-6.58%,0.0,United States,2017.0,17470,Health Care,Major Pharmaceuticals
AURC,Aurora Acquisition Corp. Class A Ordinary Shares,$9.9499,0.0299,0.30%,348249356.0,United Kingdom,2021.0,103702,Finance,Business Services
AVAV,AeroVironment Inc. Common Stock,$100.80,1.66,1.67%,2497603853.0,United States,2007.0,132017,Capital Goods,Aerospace
AVXL,Anavex Life Sciences Corp. Common Stock,$18.29,-3.07,-14.37%,1324559477.0,United States,None,5035217,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AWH,Aspira Women's Health Inc. Common Stock,$4.50,-0.24,-5.06%,503759021.0,United States,None,300060,Health Care,Medical/Dental Instruments
BBBY,Bed Bath & Beyond Inc. Common Stock,$28.74,-0.39,-1.34%,3003719168.0,United States,1992.0,1353298,Consumer Services,Other Specialty Stores
BBIO,BridgeBio Pharma Inc. Common Stock,$54.38,-0.99,-1.79%,8118073926.0,United States,2019.0,459375,Health Care,Major Pharmaceuticals
BCOV,Brightcove Inc. Common Stock,$11.31,-1.85,-14.06%,456345957.0,United States,2012.0,2900385,Technology,EDP Services
BCTX,BriaCell Therapeutics Corp. Common Shares,$5.49,0.56,11.36%,83501802.0,Canada,None,2666544,None,None
ACB,Aurora Cannabis Inc. Common Shares,$7.11,-0.18,-2.47%,1407635973.0,Canada,None,5680811,None,None
ABCB,Ameris Bancorp Common Stock,$49.13,0.21,0.43%,3427662978.0,United States,1994.0,416871,Finance,Major Banks
ACHL,Achilles Therapeutics plc American Depositary Shares,$5.91,-0.14,-2.31%,240074548.0,United Kingdom,2021.0,20268,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
